average,country,highestInningScore,inningsBatted,matchesPlayes,name,notOuts,runs,span
29.54, (ZIM),201*,123,67,GW Flower,6,3457,1992-2004
32.22, (NZ),176,114,61,BE Congdon,7,3448,1965-1978
33.28, (NZ),142,108,58,JR Reid,5,3428,1949-1965
39.21, (AUS),191,89,49,C Hill,2,3412,1896-1912
31.32, (ENG),178,114,65,GA Hick,6,3383,1991-2001
31.83, (AUS),172,112,59,GM Wood,6,3374,1978-1988
31.94, (WI),139,115,81,PJL Dujon,11,3322,1981-1991
33.53, (NZ),158,104,62,CL Cairns,5,3320,1989-2004
37.67, (PAK),211,92,60,Ijaz Ahmed,4,3315,1987-2001
36.07, (ENG),154,98,64,FE Woolley,7,3283,1909-1934
39.90, (ENG),216,96,59,KWR Fletcher,14,3272,1968-1982
32.98, (AUS),169,112,66,BJ Haddin,13,3266,2008-2015
37.39, (SA),226,94,58,ND McKenzie,7,3253,2000-2009
45.06, (WI),260,78,44,CC Hunte,6,3245,1958-1967
18.66, (ENG),169,203,138,SCJ Broad,31,3211,2007-2020
39.12, (INDIA),189*,92,55,VL Manjrekar,10,3208,1951-1965
42.13, (INDIA),201,78,51,NS Sidhu,2,3202,1983-1999
39.63, (WI),143,91,60,HA Gomes,11,3171,1976-1987
39.04, (AUS),214*,89,48,VT Trumper,8,3163,1899-1912
17.32, (AUS),99,199,145,SK Warne,17,3154,1992-2007
27.16, (NZ),151*,134,86,Sir RJ Hadlee,19,3124,1973-1990
38.46, (NZ),142,91,55,CD McMillan,10,3116,1997-2005
39.32, (AUS),170,83,47,CC McDonald,4,3107,1952-1961
43.11, (WI),209*,78,44,BF Butcher,6,3104,1958-1969
24.32, (SL),100*,162,111,WPUJC Vaas,35,3089,1994-2009
46.56, (AUS),198*,69,43,AL Hassett,3,3073,1938-1953
35.59, (INDIA),177*,97,55,CG Borde,11,3061,1958-1969
30.87, (BDESH),113,99,50,Habibul Bashar,1,3026,2000-2008
41.26, (WI),208*,90,54,JC Adams,17,3012,1992-2001
36.97, (SL),196,85,44,BKG Mendis,4,2995,2015-2020
40.41, (PAK),172,78,41,Saeed Ahmed,4,2991,1958-1973
44.64, (NZ),259,73,41,GM Turner,6,2991,1969-1983
37.98, (PAK),236,83,44,Taufeeq Umar,5,2963,2001-2014
53.81, (SA),231,62,34,AD Nourse,7,2960,1935-1951
36.97, (AUS),147,87,55,KR Miller,7,2958,1946-1956
40.77, (SA),176,76,42,HW Taylor,4,2936,1912-1932
39.12, (SA),129*,80,47,Q de Kock,5,2934,2014-2020
44.27, (NZ),186,74,39,AH Jones,8,2922,1987-1995
25.87, (WI),166,126,74,D Ramdin,14,2898,2005-2016
22.64, (PAK),257*,147,104,Wasim Akram,19,2898,1985-2002
40.66, (AUS),174,77,44,UT Khawaja,6,2887,2011-2019
32.38, (WI),208,93,52,SL Campbell,4,2882,1995-2002
26.28, (NZ),110,128,78,AC Parore,19,2865,1990-2002
38.68, (AUS),159*,84,50,WW Armstrong,10,2863,1902-1921
40.85, (BDESH),181,74,40,Mominul Haque,4,2860,2013-2020
27.21, (ZIM),103,109,60,ADR Campbell,4,2858,1992-2002
33.18, (AUS),138,93,50,GR Marsh,7,2854,1985-1992
31.83, (PAK),122,94,57,Ramiz Raja,5,2833,1984-1997
35.28, (PAK),205,83,47,Aamer Sohail,3,2823,1992-2000
36.16, (PAK),125,92,57,Wasim Raja,14,2821,1973-1985
37.42, (AUS),207,80,43,KR Stackpole,5,2807,1966-1974
34.91, (INDIA),203*,83,46,MAK Pataudi,3,2793,1961-1975
41.00, (AUS/SA),179,71,40,KC Wessels,3,2788,1982-1994
28.97, (ENG),155*,104,60,MM Ali,8,2782,2014-2019
45.55, (AUS),181,69,42,NCL O'Neill,8,2779,1958-1965
44.77, (NZ),145,65,38,MH Richardson,3,2776,2000-2004
46.06, (ENG),187,65,41,M Leyland,5,2764,1928-1938
31.77, (BDESH),146,93,49,Mahmudullah,6,2764,2009-2020
27.04, (INDIA),102,124,88,SMH Kirmani,22,2759,1976-1986
41.13, (AUS),268,70,39,GN Yallop,3,2756,1976-1984
48.21, (AUS),232,62,39,SJ McCabe,5,2748,1930-1938
28.55, (PAK),137,104,69,Moin Khan,8,2741,1990-2004
24.00, (BDESH),190,119,61,Mohammad Ashraful,5,2737,2001-2013
40.10, (NZ),230*,76,42,B Sutcliffe,8,2727,1947-1965
